t_acc,t_ang,t_ori,acc.x,acc.y,acc.z,ang.x,ang.y,ang.z,yaw,pitch,roll,avg_acc.x,avg_acc.y,avg_acc.z,avg_ang.x,avg_ang.y,avg_ang.z,prev,class
8.76754E+11,0,8.76754E+11,0.765234,-0.0324219,-0.155078,0,0,0,1.62547,-1.39723,-2.85121,0.979233,-0.0414887,-0.198446,0,0,0,0,1
8.76756E+11,8.76756E+11,8.76756E+11,1.62848,-0.421524,0.667898,17.6875,-39.4375,7.5,-1.64562,-1.3801,0.482738,0.977154,-0.140784,0.159219,3.55E-07,-0.996729,0.0808151,1,2
8.76758E+11,8.76758E+11,8.76758E+11,0.687673,0.168735,0.0376485,66.25,131,-5.75,1.66812,-0.903663,-3.13843,-0.283202,0.115647,-0.952062,-0.34091,-0.916524,0.2092,2,3
8.76759E+11,8.76759E+11,8.76759E+11,0.713435,-0.431492,0.408971,-120,41.4375,145.25,0.992153,-1.19698,-1.94955,-0.843146,-0.220761,-0.490275,0.607513,0.783009,-0.133506,3,4
8.7676E+11,8.7676E+11,8.7676E+11,0.954378,0.234529,0.0707366,200.062,127.625,-35.4375,2.3179,-0.969753,2.56101,0.935453,0.352859,0.0204499,-0.85746,-0.072271,-0.50945,4,0
8.76761E+11,8.76761E+11,8.76761E+11,0.944252,0.178212,0.768251,26.75,88.5625,72.0625,1.68581,-1.22189,-2.97682,0.0600988,0.909607,0.4111,0.714447,0.175043,0.677441,0,3
8.76763E+11,8.76763E+11,8.76763E+11,0.623353,-0.56622,0.224758,-140.25,25,96.9375,1.07928,-1.07415,-2.26582,-0.497229,-0.828091,-0.258898,0.354907,0.545044,0.759584,3,1
8.76764E+11,8.76764E+11,8.76764E+11,0.619361,-0.659947,0.488236,8.6875,-57.6875,3.4375,-1.2646,-1.30542,0.0315108,0.0261017,-0.347865,0.937181,-0.0705417,0.919616,-0.386433,1,4
8.76765E+11,8.76765E+11,8.76765E+11,0.836249,-0.0757916,0.422986,-9.875,53.1875,31.8125,2.28787,-0.983248,2.59423,0.0852164,0.628599,-0.773047,-0.148942,-0.958746,-0.242119,4,2
8.76766E+11,8.76766E+11,8.76766E+11,0.773144,0.150591,0.302067,-32.8125,117.625,56,1.38069,-0.962897,-3.01756,-0.410461,0.907228,-0.0919767,-0.141954,-0.442028,0.885698,2,0
8.76768E+11,8.76768E+11,8.76768E+11,1.91814,0.198428,1.53296,30.8125,48.5625,30.8125,1.57561,-1.30864,-2.98201,-0.00549999,-0.954172,0.299207,0.321069,0.855591,-0.406053,0,2
8.76769E+11,8.76769E+11,8.76769E+11,0.596009,-0.521721,0.372655,-56.6875,151.188,8.875,1.49931,-0.784605,3.01921,-0.566952,-0.0105012,-0.823684,-0.489326,-0.822652,0.289489,2,4
8.7677E+11,8.7677E+11,8.7677E+11,0.974583,0.0778038,0.516251,77.5625,61.875,-13.375,2.31684,-1.22776,2.38959,0.500566,0.398807,0.768366,0.0859262,0.966627,-0.241347,4,1
8.76771E+11,8.76771E+11,8.76771E+11,1.33245,-0.672561,1.22237,-56.3125,-26.9375,36.625,-1.35837,-1.36678,0.23836,0.315054,-0.0295743,0.948613,0.769307,0.620027,0.154055,1,3
8.76772E+11,8.76772E+11,8.76772E+11,0.729054,-0.125268,0.928803,81.25,60.5,-42.375,0.937363,-1.12111,-2.30079,0.428567,-0.744552,-0.511833,-0.446442,-0.694944,0.563687,3,0
